date,he,coal,gas,hydro,nuclear,other,wind
2012-02-08,12,0.250984,0.588609,0.604081,0.866204,0.397423,0.290974
2012-02-08,13,0.237566,0.583897,0.594762,0.865836,0.400518,0.300089
2012-02-08,14,0.225586,0.570608,0.579838,0.865723,0.402069,0.303921
2012-02-08,15,0.210810,0.523701,0.582663,0.864516,0.423021,0.314391
2012-02-08,16,0.213217,0.519421,0.572738,0.865667,0.508616,0.262110
2012-02-08,17,0.228063,0.571676,0.588131,0.864801,0.518457,0.337171
2012-02-08,18,0.316504,0.618074,0.640975,0.866603,0.471476,0.366164
2012-02-08,19,0.344199,0.621588,0.685080,0.867315,0.465446,0.435931
2012-02-08,20,0.416063,0.622087,0.697522,0.867177,0.399490,0.515122
2012-02-08,21,0.355529,0.605006,0.678348,0.867696,0.397185,0.565236
2012-02-08,22,0.311504,0.556499,0.586457,0.866874,0.397623,0.564593
2012-02-08,23,0.297681,0.489565,0.485582,0.804123,0.393895,0.610617
2012-02-08,24,0.384446,0.471904,0.394507,0.804311,0.376818,0.661763
2012-02-09,1,0.381077,0.418358,0.383296,0.864889,0.365881,0.623999
2012-02-09,2,0.379534,0.377310,0.379614,0.865818,0.359932,0.544107
2012-02-09,3,0.313311,0.366588,0.356608,0.802952,0.362153,0.526193
2012-02-09,4,0.296848,0.377220,0.359411,0.802363,0.362153,0.491037
2012-02-09,5,0.190891,0.417740,0.360274,0.865015,0.363221,0.499965
2012-02-09,6,0.186680,0.448121,0.424929,0.865018,0.365358,0.546544
2012-02-09,7,0.226911,0.510661,0.562527,0.865720,0.374158,0.574721
2012-02-09,8,0.333672,0.560392,0.619773,0.866119,0.400913,0.582810
2012-02-09,9,0.336921,0.542052,0.567438,0.803503,0.403049,0.557342
2012-02-09,10,0.239179,0.525532,0.571966,0.803304,0.394964,0.546504
2012-02-09,11,0.193464,0.490687,0.605802,0.866122,0.396116,0.513538
2012-02-09,12,0.194867,0.493779,0.580868,0.865765,0.396116,0.492918
2012-02-09,13,0.197674,0.481676,0.598707,0.865493,0.395048,0.588518
2012-02-09,14,0.194091,0.465303,0.606779,0.865815,0.396116,0.748527
2012-02-09,15,0.184809,0.444766,0.584337,0.865686,0.395048,0.797878
2012-02-09,16,0.184575,0.446340,0.567073,0.865775,0.396116,0.792595
2012-02-09,17,0.203591,0.469140,0.599050,0.802803,0.395048,0.787006
2012-02-09,18,0.248892,0.495319,0.675791,0.865615,0.395048,0.779243
2012-02-09,19,0.290630,0.522528,0.680881,0.865382,0.397707,0.789065
2012-02-09,20,0.318936,0.536670,0.702624,0.865632,0.398776,0.840386
